,track_id,artist_name,track_name,artist_genres,lyrics,track_loudness
32,5QuoDAS3byF53hvesOtsOX,4lfa,No Beef,['rap tunisien'],"ما نعطي وقتي لل beef ياه
I'll be wining i'll be riding
تحبو شيخة ڤولو ما عينيش
فيكش ڤعدة ڤولو ما فينيش

فما ربي I believe yeah
سري خبي توا ما نحكيش
كي ستحقيتو ڤلي ما تحتيش
يحب يعيش معايا فرحتي

ما نعطي وقتي لل beef ياه
I'll be wining i'll be riding
تحبو شيخة ڤولو ما عينيش
فيكش ڤعدة ڤولو ما فينيش

فما ربي I believe yeah
سري خبي توا ما نحكيش
كي ستحقيتو ڤلي ما تحتيش
يحب يعيش معايا فرحتي

خدعتي نسمع اكثر ماللي نحكي فيه واو
متعتي تفهمني وقت اللي تسمعني ياه
تسمع خير نشالا نهار تولي تسمع خير
موش نعجب فيك ايا تصبح على خير
نا كيف هكا نعيش و ذاس وي سابا خير ياه

آذايا صدق روحو مجرم، شاف الدبوزة في حجرو ياه
لاخر يقرا commentaire يولي مصدق روحو مشهور
رشمة في حياتي موش مشروع، موش في فترينا باش تشرو
في المهمة نلعب دوري you know me والباقي نشاله كلو بأجرو

لا نعطي وقتي لل beef لا يعنيني لاخر شبيه yeah yeah
نعمل كان الي حبيت و حتى عيوبي ما خبيت yeah yeah
مشناخذ مستحقاتي all my niggas فأيا لحضة تاتاكي
ما تغلاش علينا حتى bugatti مادامنا نعيشو نموتو كان for the team

ما نعطي وقتي لل beef ياه
I'll be wining i'll be riding
تحبو شيخة ڤولو ما عينيش
فيكش ڤعدة ڤولو ما فينيش

فما ربي I believe yeah
سري خبي توا ما نحكيش
كي ستحقيتو ڤلي ما تحتيش
يحب يعيش معايا فرحتي

ما نعطي وقتي لل beef ياه
...

******* This Lyrics is NOT for Commercial use *******
(1409624107667)",-8.709
33,4tU1Y0yzyJK8cwnli1S95o,Ta9chira,Sinaloa,['rap tunisien'],,-8.343
34,3Y6NRw8kCkZxMfWDXA4auF,A.L.A,S3ib,"['arabic hip hop', 'rap tunisien']","صعيب
نرجع كيما كنت صعيب
Yeah yeah
نلقى راحتي كيف نغيب
Yeah yeah
عندي كان الرب قريب

Yeah yeah
دنيا و شفنا منها الويل
أسبابي الخلطة و الأصحاب
رادد بالي من البعيد
جات الضربة من القراب
اليوم عدويا البارح صاحبي ، صاحبي
حسبتو خويا و بيا يحكي ، صحيت
خانوا قسمت معاهم صحني وصحتي
ما نبدلش معاهم بحثي
وحدي

شدة و تزول غدوة الوقت يداويني
صاحبي الدنيا لي دور زيد فكر لي ناسيني
شيخة سواقر لي دور موزيكا لي تواسيني
معدي مدة و شهور في الخدمة مشات سنيني
Yeah yeah
في راسي شاد يميني
في جيبي فلوس يسار
حبوني نوفا fini

...

******* This Lyrics is NOT for Commercial use *******
(1409624107667)",-8.171
35,0UgZTLRJqVKHlbNR7Rfu02,BadBoy 7low,Fire Man,['rap tunisien'],,-7.268
36,0KRZ1tvpsuaPdSUvPskdCW,A.L.A,Maktoub,"['arabic hip hop', 'rap tunisien']","آاااه
هاااا-نااااه
Yeah, yeah, yeah

ضيعت المفتاح قلبي مسكرو
كيفاش باش نرتاح ناس يتنكروا
تعبت و ريقي شاح خيري نكروه
نشيخوا لين نسينا باش نتفكروا
نحلم كيف نفيق وقتي مقلوب
ناس تسوم فيك كيف المكتوب
علاش نصون فيك هذا المطلوب
علاش نلوم فيك هذا مكتوب

وهذا مكتوب
علاش نلوم فيك هذا مكتوب
وهذا مكتوب
علاش نلوم فيك هذا مكتوب
وهذا مكتوب
علاش نلوم فيك هذا مكتوب
وهذا مكتوب
Yeah

نبقى نعرف كاري للـInfinity
Z.H dari و الـ identity
...

******* This Lyrics is NOT for Commercial use *******
(1409624107667)",-9.573
37,7xTK9Lmjl1yUmsqA23pTfE,Kaso,Bouzayein (Intro),['rap tunisien'],"عادي بروحي مصبح انا وخويا نلعب في gagnant
طريح pro طقس سخون وحاطين دبوزة citron
فجعنا صوت حس مسمعتوش مال révolution
خارج نلقى بو بابا شاد ماصة نحب définition

قالي نكسر داري وانا حر نهد ونخلي حفر
بوك كي توفى ماخلاش ملاين بش بيهم تسكن
امي مطيشة مريضة الوقت شهر ملي مات والكل
طيحو صور الدار وقت احنا صغار واعمارنا لي ذكر

كلمت خالي عامل عمرة مفسرلو بتفصيل لحكاية
حكاه معاه قالو مرت ولدك وبنتو وبنتك ولاية
قالو ماخرجهم حد
اما انا عندي ولادي وانا تو نخمم في ولادي ولا مش في ولاد ولادي

كلم ولد صلوحة يخدم الزمردة ويهز لثاث
كلم ولد لمين يهز الخردة الي ماتتشراش
كلم خالي برة من ميلانو بش يمد مفتاح
غاضني تعبي وفرحي وحني لبلاصة ماننسهاش

مانقمتش وليت فصالة مابت في صالة مع الدار
ظهري تمسمر من نومة الجراري وصبحت بطال
جيران تحكي شكون خرجهم تي وحدهم بدلو الدار
وناس تكنتر بحكاية اخرى متع هجو مالهم والعار

...

******* This Lyrics is NOT for Commercial use *******
(1409624107667)",-4.366
38,4Hy4WjXaIyg60X9QSEeG3U,COSMIC,FIJIBI,['rap tunisien'],"Seher zeher lahibi wichams ahayka fi jibi
Che3ar 3adi 7abibi wichera3 mardhi w tabibi
Aswat njoum tghared w tghani t3awed f jdidi
Dinya ta3ref tghara9 witala3 mahouchi bidi
Ya msahel lasbeb ostor
Lbes dhalma w nbet nkorr
Bdour 7amra w s7ab ytoll
3fast jamrat k s7abi lkol
Eh
Karrhouna fi bled idholl
Partout maw s9ouna lmorr
Chok nebet fi 3izz ilfoll
7imli la ma keeeeedni
7olmi n7ib 7yeti
Bil fama f jyebi
Chbeghi n3ich chbebi

Hak chayef ghodwa chta3ref
Kaf 7ak7ek wil3in trif
9alb 7ami mech newi ykhif
Whek 7ali ki nbet iliff
Far7 rina fi la7dha tlif
Ri7 bered w 3ra9 yjif
Ri9 bered fi bled izaf
Makch fehem mch wekel kaf
E ya sahara illil
...

******* This Lyrics is NOT for Commercial use *******
(1409624107667)",-8.597
39,2th7SCLVbhqUieZQPdpvxu,4lfa,Ga3da nsafiw,['rap tunisien'],,-8.826
40,6xBR1UysLJMFxslaoMTnly,Mizo-H,Fibeli Bik,['rap tunisien'],,-14.646
41,33lYS6Y1Ai0A1QvnehVtSS,Mouka,Cheda Mel Bera7,['rap tunisien'],,-11.327
42,3JAV7VqOYEQDT7tFFfLSqY,Stou,Lezem Lezem,['rap tunisien'],,-10.368
43,5hB7NlUkmnfrfLFIX8zVCI,RedStar,Famma Mennou,['rap tunisien'],"Redstar yeah (Redstar yeah)
4lfa, WMA
Ey, ey
سوسة، القصرين stand up
اي باز فما منو
(Grr, tah, tah, tah...)

جيت فسخت عباد موش بيدي
بقلمي موش بحديدي (ياه)
ما عشنا طحين وفما كان محمد سيدي

شهازز شمخلي؟ (شهازز؟) شمصدق؟ شمصلي؟
تخمامي في ميزاني لا نحب نبني ونعلي

عملت لمخي عطفة ناري عمرها ما تطفى
بلادي ما صلحت حتى شواطن فيها مكتفة
لكتيبة نص لكسيبة وخوفي كان من قوم لعريبة
قلنا لي ماقالوا ماديبة وكان الجهل يقعد مصيبة

حياتي راقدة ساعتي سابقة شكون متعدي
بلادي ساقطة وناسي فاقدة موش بيدي (نا)
صوارد وذنوب عاشق الدنيا مغلوب
والكلنا تولدنا بالذنوب وتونس ماهيش المطلوب

فما منو، رابك الي عاليوتوب مطيش فما منو (فما منو)
تونس ما تعيش موش حديث سامع منو (shit)
نوع لي كيفي كي يحب يخيش فما منو (فما منو)
حلمي ما نطيش fuck you شتفهم منو؟ (ياه)

(رابك الي عاليوتوب مطيش فما منو)
...

******* This Lyrics is NOT for Commercial use *******
(1409624107667)",-8.107
44,6dQEOGB1bobb0YQ5nP1mtl,Katybon,Interlude (Ola),['rap tunisien'],,-9.305
45,6dQEOGB1bobb0YQ5nP1mtl,Katybon,Interlude (Ola),['rap tunisien'],,-9.305
46,7rMmuMmb37vB0f4oq9INiq,NumbXiller,Omri T3ada,['rap tunisien'],"T3ada 3omri wena nkhamem kifech n3ich fi Blaset ghiri
Kont n7aser fel mongela chenraja3 l wakt
Omi twasi tkoli 9albi khbiri
Mat5aletch Adhokom behom 3omrek yos9ot kima awra9 el ward
Baba 3amel rouhi mahouch houni ykolek rajel
Taw yetsaref yjib mte3ou we yetdaffa mel bard
Nsi7a meni khali thi9tek f rouhek kbira o93ed dawer jounta tkayef
T3allem b afkarek tfarred

Mana3refch alech etta3eb
Kont fibeli bech ntir
Nheb nfi9 yezi mel la3eb
3omrek yejri rak maach sghir
Rak maach sghir lwakt ydour we ydour
Helma 9sira bleha maak el dahr ytoul
...

******* This Lyrics is NOT for Commercial use *******
(1409624107667)",-9.589
47,79YxZIeHwjSF65yKl03ebx,Ktyb,NESSI ENNOUM,"['rap tunisien', 'tunisian alternative']",,-8.359
48,7DM7AOqoEAouQ6ChSTAxaD,Kaso,Sada9tha,['rap tunisien'],"7atit fi kafa l3alem
7atitek fi kafa ban sghir l3alem
Nekdeb ki tes2alni ach 3amel
Nesta7fedh 3lina wana fro7i 7amel
M3ak wach nchouf wen9aren
Kan hadaya l7al li nti bach tet9aren
7abit lfar7a tkoun chti7 bem7arem
Mokhi 3cha9 sra7a kima3ad chay dhamen
Weli 3adito m3ak kan b3am kol nhar
Li rinah b3id kan 9rib meli sghar
Dkhalna lelaghri9 a7na nhar ba3d nhar
Ma3ad kif mchit wmansito li sar
We9teltek fi nhari
Zayed nestana
Khademto mokhi
9albi lazem yethana
Semitni lghali, lghali 3omro matkhala
Wya3lam l3ali li makontech netbala

...

******* This Lyrics is NOT for Commercial use *******
(1409624107667)",-9.292
49,3AnEU35iV8mrzHHmVgRFVj,NumbXiller,Sattar,['rap tunisien'],,-8.003
